epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0821,1.17928,7.94435,2.82677,1.57534,0.61343,0.88258,0.8879,0.6156,0,0,0,0,1.39332,5.13103,1.32812,1.25125,0,0,0
2,17.0791,1.32257,8.64204,2.64205,1.45523,0.59733,0.89767,0.88811,0.61799,0,0,0,0,1.40589,5.13141,1.35154,1.25739,1.17822e-06,1.17822e-06,1.17822e-06
3,21.776,0.91915,8.32421,3.72945,1.27785,0.58037,0.83333,0.874,0.61304,0,0,0,0,1.42092,5.12878,1.382,1.26369,2.33288e-06,2.33288e-06,2.33288e-06
4,26.9228,1.24948,9.67254,2.63807,1.42786,0.54724,0.85408,0.87216,0.6051,0,0,0,0,1.45383,5.12616,1.41304,1.27823,3.46397e-06,3.46397e-06,3.46397e-06
5,31.5955,1.13123,8.80514,2.86747,1.43618,0.57294,0.83333,0.87233,0.59648,0,0,0,0,1.47953,5.12676,1.45148,1.29444,4.5715e-06,4.5715e-06,4.5715e-06
6,36.1222,1.3197,6.87554,4.5492,1.60678,0.85088,0.57343,0.87407,0.58055,0,0,0,0,1.49118,5.12692,1.50473,1.30879,5.65548e-06,5.65548e-06,5.65548e-06
7,40.8498,1.10266,10.5187,2.03054,1.30973,0.83395,0.56667,0.88633,0.57913,0,0,0,0,1.50634,5.12726,1.54365,1.31813,6.71588e-06,6.71588e-06,6.71588e-06
8,45.4106,1.26772,8.14017,3.0422,1.62635,0.83087,0.56667,0.88576,0.55696,0,0,0,0,1.5173,5.12772,1.61003,1.33941,7.75273e-06,7.75273e-06,7.75273e-06
9,54.0559,1.04112,8.26164,2.72965,1.3159,0.81424,0.56667,0.77971,0.54671,0,0,0,0,1.53665,5.12811,1.67605,1.34943,8.76602e-06,8.76602e-06,8.76602e-06
10,63.4343,0.8877,7.59445,3.30856,1.35992,0.82076,0.58292,0.7694,0.53036,0,0,0,0,1.55552,5.12848,1.75011,1.36905,9.75574e-06,9.75574e-06,9.75574e-06
11,70.3555,1.12498,8.50156,3.00261,1.33091,0.79497,0.58333,0.74297,0.51783,0,0,0,0,1.55806,5.12859,1.76498,1.36785,1.07219e-05,1.07219e-05,1.07219e-05
12,75.6491,0.86106,8.12614,2.15036,1.19695,0.77755,0.58333,0.74301,0.51781,0,0,0,0,1.56494,5.12893,1.77914,1.37225,1.16645e-05,1.16645e-05,1.16645e-05
13,80.6429,0.97954,8.83732,2.72579,1.18323,0.74891,0.58333,0.74298,0.51781,0,0,0,0,1.55817,5.12928,1.79893,1.36833,1.25835e-05,1.25835e-05,1.25835e-05
14,86.7465,1.32813,7.04199,2.21488,1.64153,0.74896,0.58333,0.74298,0.51784,0.00104,0.01667,0.00065,6e-05,1.53891,5.13217,1.84359,1.36146,1.3479e-05,1.3479e-05,1.3479e-05
15,91.8198,0.83739,9.5579,1.85726,1.11006,0.78173,0.58333,0.74299,0.5173,0.00108,0.01667,0.00066,7e-05,1.53339,5.13248,1.8699,1.3574,1.43509e-05,1.43509e-05,1.43509e-05
16,97.5051,0.81512,6.93276,2.43641,1.22485,0.92604,0.37333,0.74433,0.51748,0.00108,0.01667,0.00064,6e-05,1.52872,5.13239,1.8731,1.35781,1.51993e-05,1.51993e-05,1.51993e-05
17,103.17,0.85976,8.43245,1.95477,1.15859,0.92712,0.37353,0.65978,0.50019,0.00113,0.01667,0.00066,7e-05,1.53422,5.1368,1.90747,1.36202,1.60241e-05,1.60241e-05,1.60241e-05
18,108.093,1.0477,8.11088,1.91922,1.30276,0.92712,0.37353,0.65978,0.50019,0.00113,0.01667,0.00066,7e-05,1.53422,5.1368,1.90747,1.36202,1.68253e-05,1.68253e-05,1.68253e-05
19,112.449,0.99719,8.0723,2.07039,1.18442,0.92871,0.37375,0.61831,0.46722,0.00112,0.01667,0.00064,6e-05,1.58181,5.13741,1.97669,1.3918,1.7603e-05,1.7603e-05,1.7603e-05
