epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4609,1.17928,8.83022,2.82677,1.57534,0.61343,0.88258,0.8879,0.6156,0.21981,0.26667,0.25666,0.15423,1.39332,5.12832,1.32812,1.25125,0,0,0
2,16.4724,1.32257,10.8104,2.64205,1.45523,0.59889,0.89689,0.88811,0.61799,0.19982,0.26667,0.25667,0.15589,1.40589,5.12807,1.35123,1.25729,1.17822e-06,1.17822e-06,1.17822e-06
3,21.6547,0.91977,8.67829,3.73476,1.27727,0.58069,0.83333,0.87401,0.61306,0.27907,0.51667,0.45847,0.17895,1.41997,5.12483,1.38053,1.26299,2.33288e-06,2.33288e-06,2.33288e-06
4,26.5864,1.25447,10.784,2.64478,1.43132,0.5493,0.85354,0.87214,0.6051,0.30463,0.51667,0.51376,0.1895,1.45073,5.12164,1.40928,1.27631,3.46397e-06,3.46397e-06,3.46397e-06
5,31.9983,1.13102,10.6576,2.87281,1.43674,0.57622,0.83333,0.87237,0.59647,0.25127,0.35,0.34793,0.17115,1.4761,5.12117,1.44776,1.29185,4.5715e-06,4.5715e-06,4.5715e-06
6,36.5752,1.32174,7.41017,4.54913,1.60794,0.83926,0.56667,0.87211,0.5835,0.23514,0.35,0.34792,0.17117,1.48524,5.12107,1.50066,1.30484,5.65548e-06,5.65548e-06,5.65548e-06
7,41.4839,1.11004,11.4799,2.06222,1.31918,0.83364,0.56667,0.87218,0.56937,0.16961,0.35,0.34792,0.17141,1.5037,5.1208,1.54111,1.31504,6.71588e-06,6.71588e-06,6.71588e-06
8,45.8068,1.26287,8.35914,3.0622,1.63051,0.82837,0.56667,0.88257,0.54691,0.04171,0.35,0.34792,0.17026,1.51157,5.12053,1.60116,1.3301,7.75273e-06,7.75273e-06,7.75273e-06
9,50.4121,1.05832,8.96053,2.7853,1.32742,0.81143,0.56667,0.886,0.54876,0.04386,0.35,0.34792,0.17034,1.52997,5.12015,1.66776,1.34294,8.76602e-06,8.76602e-06,8.76602e-06
10,72.0565,0.91079,9.14188,3.36466,1.36895,0.80136,0.58333,0.76491,0.52821,0.05926,0.35,0.34792,0.16989,1.54577,5.12048,1.7426,1.35646,9.75574e-06,9.75574e-06,9.75574e-06
11,84.504,1.12417,8.5895,3.0702,1.33766,0.79687,0.58333,0.7431,0.51774,0.07165,0.35,0.34793,0.16309,1.55923,5.12053,1.77675,1.36653,1.07219e-05,1.07219e-05,1.07219e-05
12,98.5257,0.84385,8.66638,2.18169,1.18612,0.78367,0.58333,0.74301,0.51777,0.07321,0.35,0.34795,0.16309,1.56623,5.12016,1.78582,1.37352,1.16645e-05,1.16645e-05,1.16645e-05
13,105.891,0.99151,9.4363,2.79245,1.19014,0.7568,0.58333,0.74295,0.51776,0.08535,0.36667,0.35943,0.16438,1.56229,5.12024,1.80993,1.37331,1.25835e-05,1.25835e-05,1.25835e-05
14,114.752,1.31748,7.46614,2.26011,1.63823,0.77828,0.58333,0.74617,0.51947,0.10047,0.36667,0.35941,0.16459,1.53559,5.12047,1.82025,1.36201,1.3479e-05,1.3479e-05,1.3479e-05
15,127.469,0.85499,10.1615,1.92893,1.12356,0.81395,0.41667,0.74289,0.52536,0.06034,0.28333,0.28672,0.15733,1.52412,5.12319,1.83485,1.35461,1.43509e-05,1.43509e-05,1.43509e-05
16,135.345,0.84182,7.43339,2.55875,1.24299,0.92981,0.37329,0.74291,0.52534,0.06033,0.28333,0.2215,0.14149,1.55018,5.1278,1.87372,1.36623,1.51993e-05,1.51993e-05,1.51993e-05
17,142.416,0.85558,9.25647,2.0922,1.16963,0.93215,0.37345,0.65845,0.48327,0.0604,0.28333,0.22153,0.1415,1.56152,5.1276,1.90974,1.37316,1.60241e-05,1.60241e-05,1.60241e-05
18,152.786,1.06848,9.12595,2.04668,1.32698,0.93215,0.37345,0.65845,0.48327,0.0604,0.28333,0.22153,0.1415,1.56152,5.1276,1.90974,1.37316,1.68253e-05,1.68253e-05,1.68253e-05
19,160.817,1.04571,8.38439,2.23054,1.20258,0.93508,0.37383,0.63235,0.48454,0.06232,0.28333,0.21473,0.14095,1.60893,5.12731,1.99011,1.40329,1.7603e-05,1.7603e-05,1.7603e-05
